Model,ROC-AUC,PR-AUC,Brier
Uncalibrated tuned LightGBM,0.569367921640649,0.11372308227694262,0.11985399537495225
Isotonic-calibrated,0.547329354147536,0.10494493036023758,0.08351324242082662
